#KEGG ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
K00016	193	208
K00147	659	673
K00231	189	183
K00324	256	258
K00325	243	246
K00436	26	25
K00702	14	14
K00931	685	704
K01181	219	142
K01192	60	60
K01209	283	291
K01235	65	44
K01624	847	831
K01772	709	716
K01786	466	487
K01804	336	350
K02044	332	360
K02417	407	398
K03783	229	247
K05341	9	11
K05343	96	72
K05601	52	43
K05780	119	116
K05781	103	92
K05979	45	30
K06162	121	111
K06163	119	116
K06164	119	116
K06165	103	92
K06166	104	99
K07079	9	9
K07104	238	269
K07669	10	8
K09702	76	83
K09992	224	226
K11741	333	343
K14275	7	7
K15831	50	40
K15923	71	56
K16898	63	71
K16899	61	69
K00042	138	128
K00230	88	92
K02168	560	580
K03658	65	63
K03768	660	612
K05565	286	336
K07282	53	72
K07738	632	613
K17752	77	77
K17763	205	235
K19355	16	22
K00428	108	134
K01424	794	832
K01429	357	349
K02238	636	639
K07127	340	398
K07465	5	6
K13485	0	1
K19713	36	47
K01028	297	349
K01029	292	346
K07481	530	348
K00005	165	177
K01077	294	279
K01545	43	33
K03897	127	143
K13745	96	137
K00645	654	650
K00997	466	461
K02052	248	254
K02078	1852	1838
K02474	387	382
K02609	156	160
K09458	947	951
K14683	4	0
K00297	500	514
K00529	172	153
K01130	167	143
K01430	379	376
K01950	209	210
K02566	204	185
K05878	303	271
K05879	173	151
K06895	285	268
K09747	799	807
K11956	1	0
K11959	168	172
K11960	56	69
K11961	185	195
K11962	95	116
K11963	181	193
K19171	0	10
K02887	829	830
K02970	612	606
K07160	661	682
K07217	45	58
K19002	1	1
K00274	231	248
K00344	366	341
K00491	38	46
K01087	243	219
K01442	58	112
K01667	51	34
K04015	43	33
K06890	280	267
K06952	48	37
K07028	152	144
K07074	30	28
K07307	48	40
K07454	30	29
K09961	17	19
K17247	141	147
K03453	394	380
K07246	271	278
K07322	404	391
K07451	39	58
K07793	546	633
K09940	244	254
K18540	110	106
K00564	405	407
K00675	52	48
K01129	626	608
K01194	294	308
K01563	15	12
K01816	324	391
K02441	325	312
K03478	76	76
K03744	422	432
K04771	281	327
K06996	712	718
K07032	243	251
K08323	250	228
K10011	65	62
K12454	12	3
K14266	18	29
K15510	7	5
K18009	1	4
K18581	33	64
K00046	306	288
K01449	80	110
K01580	244	219
K01925	773	766
K01928	686	709
K02585	17	18
K02586	17	18
K02588	2	1
K02589	1	1
K02590	1	1
K02591	17	18
K03426	457	430
K03559	819	783
K03561	1029	933
K03655	772	748
K03685	710	724
K03699	101	73
K03826	195	180
K04749	274	254
K05895	27	48
K06718	149	169
K06720	184	205
K07007	739	739
K07009	202	186
K07284	83	101
K07315	51	69
K08097	18	16
K09790	371	338
K10563	775	790
K15256	404	377
K00158	158	162
K00634	30	41
K01000	860	853
K01246	518	536
K01421	73	71
K01436	404	394
K01760	488	517
K01919	325	304
K02587	17	18
K03305	745	716
K03449	500	479
K03824	140	133
K04480	1	1
K06317	27	37
K06409	27	37
K06893	40	48
K06923	177	189
K07031	1	1
K07105	18	21
K07236	330	319
K07237	178	193
K07646	143	151
K09124	17	19
K10947	298	306
K13924	372	417
K14155	246	261
K00355	137	162
K00598	137	126
K01069	378	365
K01924	818	846
K03471	30	41
K07257	19	23
K15777	150	167
K18926	22	44
K18939	25	38
K01854	56	55
K03101	1332	1259
K06133	128	129
K07483	2117	2067
K00383	668	722
K00432	458	446
K00537	1029	1047
K00868	231	197
K01575	180	194
K02478	136	113
K03462	42	55
K03648	764	760
K03780	5	0
K05352	145	141
K06188	130	157
K06959	354	352
K07458	276	255
K07560	776	769
K07862	154	166
K11041	5	5
K16926	146	142
K19271	11	23
K01163	1	1
K01906	8	16
K19114	2	6
K00595	44	70
K00833	615	623
K00901	731	713
K01104	703	699
K07343	104	115
K09935	97	75
K19173	0	4
K19174	0	4
K12267	207	189
K15898	182	203
K03976	408	394
K07657	406	402
K08987	157	160
K01156	66	60
K02824	191	215
K07318	0	9
K00002	188	209
K08972	321	328
K03328	30	53
K07235	347	337
K02592	17	18
K06992	29	35
K07170	706	725
K11936	5	5
K02843	380	425
K03271	235	231
K03666	568	569
K03722	533	528
K06917	84	101
K06986	94	84
K07139	57	55
K09160	336	316
K15383	15	15
K16052	174	164
K02849	3	7
K03273	226	233
K03833	115	102
K08679	503	519
K03274	179	183
K03581	348	333
K00978	34	39
K01709	6	0
K00018	266	250
K00259	773	791
K01775	731	751
K02000	211	227
K02001	191	212
K02002	768	781
K02231	144	185
K03321	719	852
K03324	146	147
K03458	15	17
K03817	189	181
K06180	962	1030
K07474	197	225
K09705	25	50
K09779	28	39
K09922	20	5
K09936	925	903
K11928	413	391
K03973	217	188
K02484	179	182
K03445	43	33
K01008	247	247
K01834	218	211
K03340	3	3
K04077	904	903
K04078	916	911
K01358	931	930
K00148	219	223
K00590	2	2
K00662	110	98
K01159	436	382
K01531	65	68
K01838	59	56
K03550	736	754
K03781	1208	1196
K03893	231	229
K07130	25	33
K07552	894	976
K08223	78	80
K09694	48	25
K16905	0	4
K16906	0	4
K19046	159	139
K19124	159	139
K19126	159	139
K00686	26	36
K03387	305	326
K03551	483	474
K03696	480	509
K06884	52	50
K07172	70	63
K07300	135	134
K07668	176	183
K09695	40	25
K09766	1	2
K10823	160	161
K00604	867	883
K00947	30	34
K01666	147	151
K07979	131	147
K15583	211	241
K19117	26	21
K19118	26	21
K19119	25	21
K19180	2	3
K01921	950	958
K03630	720	732
K18918	97	97
K19159	231	207
K00700	321	350
K01286	198	222
K03641	395	362
K03778	77	97
K03797	838	901
K03975	142	112
K05020	46	49
K14623	43	34
K14731	50	60
K17716	3	3
K17947	47	46
K01081	1045	1168
K01147	201	188
K01582	109	96
K06197	65	59
K06949	716	720
K07117	40	48
K07259	408	436
K00568	442	400
K01584	249	281
K14138	1	1
K02658	67	58
K03769	428	446
K09932	174	191
K10536	221	202
K13747	161	128
K15856	1	0
K16922	15	2
K20534	265	268
K00038	70	58
K00808	18	19
K01697	413	418
K01761	419	428
K02536	736	771
K03695	589	581
K03839	241	223
K03929	56	100
K10680	647	714
K17762	75	83
K19169	0	4
K19170	5	13
K00657	282	333
K00956	400	427
K00957	602	660
K03282	690	726
K03549	106	106
K04068	80	76
K07386	360	372
K18979	597	634
K09958	54	55
K16370	53	34
K19123	62	57
K19125	159	139
K00986	10	10
K01278	568	514
K02805	257	224
K03293	77	83
K03299	587	558
K03466	942	919
K03649	92	93
K18288	0	1
K01270	359	402
K03152	53	53
K07115	101	114
K13542	64	59
K19418	8	16
K00619	51	47
K01682	260	244
K02446	148	148
K03312	211	221
K03612	219	210
K03613	239	232
K03614	222	212
K03616	367	340
K03617	239	232
K06997	535	564
K07459	66	59
K14084	1	1
K16180	2	2
K16181	1	1
K16182	1	1
K16238	43	75
K01469	16	7
K03790	209	237
K04748	9	0
K07636	812	818
K07658	367	399
K13652	17	19
K14392	146	153
K16331	17	33
K00856	87	65
K02426	652	644
K03615	222	214
K21028	44	34
K01267	136	161
K02488	10	9
K03828	258	293
K04750	114	138
K07652	31	42
K11443	3	3
K15724	358	336
K16137	424	443
K18911	51	38
K06903	179	155
K06907	216	215
K09700	2	1
K14205	158	163
K20201	26	36
K00433	173	169
K00625	209	232
K00831	556	560
K00925	190	247
K01173	114	139
K02108	630	648
K02109	699	711
K02110	819	832
K02111	821	839
K02114	831	840
K02115	803	819
K02594	18	19
K03825	65	62
K04103	22	29
K04565	231	236
K18700	1	1
K00075	769	745
K00790	961	965
K02112	814	822
K13954	197	161
K13979	715	756
K01590	43	36
K01233	6	0
K06905	94	82
K10824	56	54
K13653	88	92
K15586	201	195
K15587	56	54
K01400	36	76
K02335	645	624
K12992	23	17
K07004	91	91
K19055	79	81
K18906	150	146
K01744	84	101
K11748	65	62
K13015	69	54
K05396	66	59
K09920	335	318
K06381	34	53
K00060	241	207
K00362	319	322
K00859	661	673
K00984	8	10
K02237	358	343
K02502	186	208
K07010	388	392
K11752	826	794
K11755	451	448
K16149	1	8
K16907	0	4
K01266	191	175
K01505	190	215
K00034	163	189
K01200	25	35
K20896	3	0
K02411	384	370
K03925	686	677
K12138	43	33
K12139	43	33
K06015	118	107
K14591	88	88
K01448	904	967
K15829	43	33
K15830	43	33
K11068	744	729
K17462	25	35
K16710	65	62
K00004	17	41
K05800	93	101
K07501	196	215
K00651	76	82
K01118	778	735
K02346	498	464
K03148	225	200
K03149	461	442
K03742	220	260
K03763	177	184
K04079	609	627
K06158	621	632
K06182	293	324
K07126	233	269
K07473	43	33
K07478	672	681
K07727	281	315
K08159	87	83
K12952	3	6
K01664	309	274
K01665	589	594
K03150	220	191
K04095	76	86
K07667	251	256
K18816	24	24
K12339	436	443
K12678	86	66
K08717	43	39
K09931	191	196
K15023	1	1
K00991	432	398
K01841	2	0
K03430	17	41
K03646	254	221
K00457	595	612
K00603	1	1
K00867	94	113
K01295	39	38
K03534	305	324
K07734	468	463
K18337	16	25
K00090	108	99
K00210	1	0
K00769	330	317
K00786	546	609
K01497	343	355
K01659	333	315
K07106	480	499
K07071	593	625
K06867	277	217
K00299	508	471
K00392	250	254
K00412	238	243
K03270	557	575
K07086	47	62
K08321	43	33
K14166	79	71
K14952	48	39
K15736	87	100
K16435	223	242
K18588	18	20
K01082	631	599
K01768	424	517
K01776	519	557
K01989	43	53
K05967	10	19
K07157	243	206
K07533	180	190
K07699	29	40
K07709	44	33
K18235	203	182
K00505	15	24
K10674	146	166
K20989	17	19
K00099	360	340
K00164	624	628
K00208	728	779
K00275	582	582
K00293	4	0
K00346	455	470
K00347	455	470
K00348	455	470
K00349	472	488
K00350	469	485
K00351	455	470
K00554	492	516
K00556	453	504
K00566	629	648
K00655	961	961
K00658	1014	1046
K00691	198	226
K00748	569	583
K00760	453	454
K00773	481	524
K00791	793	781
K00886	245	259
K00912	545	567
K00919	605	566
K00929	44	42
K00942	830	823
K00951	801	768
K00954	831	842
K00962	810	791
K00969	590	611
K00979	593	593
K00981	740	724
K01056	803	796
K01089	419	409
K01119	129	126
K01284	426	430
K01305	138	123
K01372	0	4
K01425	531	574
K01462	892	886
K01556	444	464
K01627	247	257
K01662	661	640
K01674	16	20
K01770	397	355
K01835	475	465
K01847	493	531
K01886	487	492
K01910	44	34
K01918	664	678
K01929	774	783
K01961	837	843
K01966	298	326
K01968	213	204
K01969	252	257
K01991	169	188
K01993	365	340
K02005	992	1034
K02014	3242	3302
K02065	536	572
K02066	460	479
K02067	480	466
K02113	666	672
K02226	79	85
K02302	208	220
K02313	803	803
K02314	843	830
K02337	701	761
K02338	684	696
K02340	668	674
K02341	559	586
K02343	656	669
K02355	921	934
K02356	919	924
K02357	831	836
K02358	1111	1093
K02371	190	214
K02429	382	391
K02473	6	16
K02477	651	588
K02517	714	736
K02518	1093	1151
K02519	787	793
K02527	566	566
K02529	1251	1209
K02558	245	237
K02621	607	600
K02622	737	743
K02834	687	691
K02835	813	813
K02837	529	546
K02838	814	813
K02844	70	65
K02851	262	283
K02860	596	600
K02878	812	805
K02879	835	835
K02884	824	831
K02888	827	831
K02897	829	835
K02899	831	836
K02902	1094	1098
K02909	767	757
K02913	1044	1049
K02914	1009	998
K02916	818	813
K02926	831	832
K02935	814	818
K02939	827	832
K02945	786	800
K02959	817	832
K02963	1085	1101
K02968	828	828
K02990	827	834
K03040	831	835
K03043	665	670
K03046	685	691
K03070	898	897
K03075	808	805
K03086	795	815
K03088	4808	5054
K03092	633	640
K03098	262	230
K03100	933	946
K03111	1053	1094
K03210	819	814
K03215	546	572
K03217	769	770
K03269	558	558
K03289	43	33
K03313	320	330
K03327	744	773
K03385	49	36
K03437	543	572
K03438	435	422
K03439	634	652
K03474	594	597
K03495	758	766
K03501	605	583
K03525	599	601
K03526	459	420
K03527	458	432
K03536	713	692
K03544	692	711
K03553	791	800
K03558	471	475
K03565	802	815
K03570	627	642
K03584	680	695
K03587	630	636
K03589	680	691
K03595	789	795
K03596	807	816
K03621	558	558
K03624	800	800
K03628	825	846
K03631	821	817
K03650	614	618
K03664	653	629
K03723	641	624
K03737	46	36
K03770	396	376
K03771	561	550
K03772	249	211
K03786	771	794
K03798	801	791
K03803	222	193
K03808	248	233
K03811	469	460
K03820	624	649
K03832	826	815
K03932	30	32
K03977	764	779
K03978	766	784
K03979	823	830
K04041	167	166
K04047	1824	1898
K04066	622	623
K04075	626	635
K04516	194	213
K04757	254	247
K04762	571	586
K05366	806	844
K05367	90	95
K05515	576	592
K05801	544	566
K05807	387	378
K05808	582	599
K05810	455	455
K05995	300	341
K06041	412	438
K06076	387	434
K06140	454	461
K06142	580	558
K06175	526	524
K06178	804	803
K06187	831	836
K06201	80	88
K06204	467	433
K06207	793	794
K06217	678	701
K06881	276	294
K06891	572	541
K06894	110	130
K06925	623	634
K07056	949	966
K07082	518	529
K07085	64	88
K07091	305	273
K07094	370	395
K07154	494	503
K07164	251	264
K07175	253	252
K07277	278	264
K07334	850	844
K07391	597	579
K07443	125	148
K07447	660	669
K07456	226	262
K07787	585	559
K07798	441	440
K08081	192	216
K08301	406	399
K08307	552	532
K08354	43	33
K08364	223	199
K08591	300	296
K09117	166	152
K09710	620	619
K09748	786	786
K09761	658	648
K09811	651	656
K09812	635	642
K09861	580	580
K09888	739	736
K09939	163	130
K09952	5	9
K09954	190	204
K09973	248	222
K09979	65	58
K11065	437	489
K11720	415	408
K11749	625	643
K11783	47	39
K11942	235	270
K11991	498	493
K12257	231	260
K12340	763	788
K12373	122	135
K12527	44	34
K12942	246	282
K13016	17	18
K13018	17	18
K13282	284	299
K13481	188	234
K13482	151	172
K13766	296	292
K13789	289	323
K14287	294	298
K14441	296	301
K15034	621	625
K15460	237	246
K15738	751	762
K15876	4	4
K16053	403	401
K16087	579	555
K16089	545	581
K16216	29	35
K16363	194	213
K18005	19	18
K18682	276	292
K18691	342	323
K18707	227	256
K18831	467	448
K19166	335	325
K20459	0	12
K20461	0	12
K20757	153	126
K20866	269	277
K00065	119	118
K00561	1	1
K00970	242	242
K01053	141	115
K01113	762	758
K01222	96	98
K01820	21	29
K02045	159	177
K02047	141	157
K02048	254	249
K02081	103	77
K02510	183	196
K02564	246	257
K03710	367	392
K04091	259	262
K04343	50	42
K05799	176	187
K06113	419	476
K07093	385	373
K07192	58	64
K07234	183	159
K07407	76	65
K10117	135	134
K10118	132	132
K10119	139	140
K10240	169	159
K10241	153	136
K10242	169	158
K11392	43	33
K11779	48	37
K13640	57	49
K15553	284	291
K15554	185	179
K15555	200	190
K17234	8	16
K17235	8	17
K17236	8	16
K19059	27	18
K00036	337	352
K00322	373	364
K00336	273	234
K00404	402	409
K00459	279	282
K00507	188	174
K00594	53	43
K00720	11	13
K00756	177	190
K00853	299	303
K00950	912	888
K00990	416	393
K01057	213	225
K01093	65	58
K01095	325	337
K01198	218	191
K01201	57	57
K01392	2	6
K01555	238	254
K01621	54	46
K01626	739	719
K01640	615	652
K01685	308	288
K01753	75	58
K01792	91	108
K01878	228	242
K01879	410	408
K01963	677	690
K02082	48	38
K02160	847	866
K02278	21	22
K02282	17	12
K02372	936	970
K02387	380	369
K02388	418	407
K02390	401	390
K02391	364	352
K02392	401	404
K02393	379	366
K02394	292	278
K02396	387	376
K02397	420	410
K02398	308	320
K02400	398	386
K02401	420	420
K02406	453	490
K02407	392	407
K02408	423	411
K02409	401	390
K02410	413	402
K02412	304	305
K02416	257	288
K02419	398	383
K02421	383	384
K02422	318	322
K02453	255	219
K02456	259	227
K02533	95	88
K02535	400	388
K02556	451	494
K02557	1018	1114
K02652	175	176
K02653	160	161
K02654	395	360
K02662	132	147
K02825	453	469
K02841	63	57
K02856	71	58
K02911	1081	1101
K02919	699	715
K03073	1046	1058
K03091	148	206
K03153	135	164
K03195	0	8
K03197	3	13
K03199	0	8
K03200	0	4
K03204	0	8
K03317	490	508
K03402	461	440
K03446	241	270
K03543	353	382
K03545	833	836
K03571	466	467
K03579	222	239
K03585	667	669
K03588	819	851
K03590	430	467
K03620	46	35
K03625	623	609
K03634	547	558
K03640	583	593
K03642	601	561
K03667	422	409
K03705	287	288
K03818	56	44
K03980	491	440
K04063	591	564
K04756	194	169
K04761	610	618
K04765	201	213
K05365	244	213
K05522	160	192
K05589	362	349
K05788	398	385
K05946	54	73
K05970	16	6
K06118	20	22
K06168	818	815
K06202	70	59
K06346	84	87
K06958	562	537
K06980	419	391
K07019	386	393
K07040	441	452
K07046	233	260
K07147	98	108
K07233	190	193
K07267	31	31
K07336	221	184
K07665	195	199
K07693	279	249
K07726	369	333
K07778	281	245
K07788	119	111
K07789	229	222
K08092	59	57
K08137	65	68
K08191	283	278
K08744	107	99
K08994	267	273
K09764	97	98
K09767	294	307
K09769	50	63
K09774	270	258
K09778	16	18
K09862	355	341
K09891	344	334
K09930	220	209
K09945	38	46
K09949	4	9
K10778	210	193
K10804	476	482
K11177	354	351
K11178	355	357
K11753	846	852
K12510	123	113
K12511	109	107
K13017	17	18
K13292	592	616
K13483	350	337
K14162	275	247
K14189	155	158
K14261	93	81
K14519	155	133
K14742	583	590
K15011	296	293
K15012	301	287
K15547	43	54
K15549	43	33
K15725	187	163
K15726	1081	1056
K15727	546	513
K15855	2	8
K15973	39	58
K16147	59	53
K16167	27	36
K16371	190	158
K17228	0	6
K18333	212	234
K18475	1	6
K18829	240	215
K18889	287	318
K18890	281	314
K18928	113	120
K18929	102	105
K19092	417	427
K19267	89	95
K19270	140	128
K20542	43	37
K00066	21	18
K00146	51	49
K00163	655	639
K00316	25	28
K00363	300	296
K00375	699	744
K00452	238	277
K00456	18	19
K00479	18	35
K00486	240	252
K00500	356	357
K00819	421	433
K00975	184	203
K01283	9	7
K01356	746	702
K01419	427	415
K01420	1846	1951
K01444	190	220
K01451	246	313
K01914	195	159
K01962	756	769
K02199	305	312
K02315	55	51
K02385	36	41
K02389	414	411
K02482	95	83
K02657	36	31
K02663	160	180
K02664	168	177
K02665	144	156
K02666	295	283
K02667	36	27
K02668	15	1
K02669	362	333
K03060	621	603
K03272	196	213
K03296	607	618
K03332	192	225
K03333	103	107
K03409	153	129
K03560	377	374
K03562	255	229
K03717	258	218
K03814	422	454
K03919	237	210
K04065	225	194
K04094	34	43
K04755	498	491
K04760	432	468
K05524	205	217
K05817	43	33
K05837	553	544
K06006	65	68
K06152	130	153
K06872	368	404
K06960	83	90
K07020	297	271
K07042	472	453
K07054	428	447
K07156	363	321
K07214	135	123
K07223	220	191
K07245	311	283
K07250	470	523
K07303	236	279
K07399	96	95
K07516	511	533
K07705	177	184
K07736	64	61
K07814	8	2
K07823	1	6
K08776	1	6
K08995	11	15
K08998	203	209
K09017	67	60
K09704	9	13
K09804	1	0
K09915	75	63
K09924	35	49
K09925	43	33
K09934	44	39
K09957	63	60
K09964	182	203
K10217	53	87
K10543	129	106
K10544	124	98
K10545	122	98
K13529	208	208
K13599	18	20
K13639	149	176
K13651	64	53
K13655	48	38
K13770	27	37
K13810	1	0
K14260	243	244
K15067	48	67
K15773	219	177
K16211	194	216
K16554	8	11
K17489	2	2
K17836	198	200
K17837	12	14
K18139	50	49
K18286	50	36
K18930	144	122
K00064	151	154
K00108	479	512
K00117	446	475
K00365	2	7
K00380	263	251
K00469	2	6
K00768	126	118
K01166	3	8
K01184	0	4
K01185	214	191
K01205	2	12
K01218	70	58
K01354	589	586
K01457	56	60
K01569	52	53
K01635	28	30
K01690	243	251
K01729	215	245
K01730	0	1
K01788	130	112
K01815	94	92
K01865	1	7
K01941	77	68
K02083	125	146
K02228	18	48
K02351	42	40
K02364	43	33
K02431	170	158
K02443	220	217
K02650	205	183
K03342	41	45
K03535	108	120
K03735	65	86
K03736	64	85
K03862	220	199
K03889	55	46
K04082	49	33
K05306	13	23
K05340	159	157
K05889	0	4
K06136	169	196
K06138	137	152
K06143	55	37
K06160	6	9
K06221	135	133
K06324	9	17
K06991	313	311
K07118	68	88
K07146	711	719
K07226	174	147
K07289	204	229
K07506	53	43
K07640	65	62
K07660	77	71
K07733	296	271
K07799	138	134
K08218	379	355
K08280	43	33
K08309	321	312
K08738	126	122
K09795	20	20
K09800	320	326
K09950	174	148
K09967	352	372
K09974	43	33
K09990	2	0
K11102	226	235
K11477	170	182
K11891	294	325
K11892	162	194
K11893	164	183
K11896	203	226
K11897	140	141
K11898	22	35
K11900	164	189
K11901	181	207
K11902	140	147
K11903	290	326
K11904	223	267
K12658	139	133
K12962	65	62
K13019	1	1
K13540	5	6
K13950	6	15
K14161	266	251
K14977	326	339
K15532	71	93
K15836	43	33
K16090	54	42
K16092	209	212
K16840	56	74
K17217	31	41
K17722	63	55
K18195	5	0
K18199	1	0
K18334	292	282
K18346	6	2
K18478	44	33
K19265	331	349
K19416	370	358
K19577	394	384
K19585	128	110
K19586	48	43
K19686	7	1
K20543	44	54
K00114	19	49
K00138	295	311
K00405	435	452
K00406	434	458
K00795	275	234
K01707	60	69
K01708	56	69
K01822	15	17
K02279	261	219
K02280	163	140
K02405	440	410
K02651	108	92
K04046	94	88
K04744	322	303
K07116	10	12
K07347	352	362
K07713	234	254
K08363	204	181
K08996	232	251
K09824	65	58
K10560	2	3
K10561	2	3
K12262	546	540
K13668	54	44
K18988	65	58
K19707	14	43
K00481	157	156
K00972	1	1
K01521	68	68
K01750	254	244
K02299	200	214
K02395	259	239
K02415	498	472
K02418	302	304
K02624	188	194
K03077	51	49
K03201	0	10
K03791	15	23
K03886	28	43
K04044	70	53
K07302	272	314
K09474	8	2
K09780	507	474
K09969	154	193
K11907	163	176
K18299	16	30
K00453	456	508
K00684	569	574
K01782	293	244
K02836	298	322
K03222	5	26
K03223	18	34
K03224	18	38
K03225	19	38
K03226	21	46
K03230	21	46
K03831	91	82
K06203	410	399
K08641	288	284
K09065	9	7
K10806	221	233
K13622	7	2
K13671	92	74
K15257	329	312
K16329	90	80
K00167	211	230
K00448	28	24
K00449	311	314
K00499	0	6
K00690	159	167
K00758	391	371
K00982	417	392
K01144	14	8
K01186	47	45
K01501	21	20
K01593	22	17
K01781	6	0
K01926	230	226
K02386	362	352
K02404	320	289
K02454	297	263
K02455	273	243
K02458	229	199
K02459	249	213
K02471	82	66
K02499	32	43
K02687	575	591
K03301	20	3
K03336	61	92
K03338	63	94
K03392	48	75
K03416	1	1
K03576	112	128
K03758	94	99
K04021	43	33
K04028	49	36
K04782	65	57
K05499	192	181
K05797	0	4
K05874	109	116
K05939	67	84
K06151	126	153
K06195	366	343
K06603	279	251
K07000	334	353
K07053	330	326
K07222	339	398
K07248	98	101
K07749	268	241
K08234	105	115
K08276	43	33
K08970	45	35
K09927	159	153
K10562	12	3
K10941	179	151
K11103	108	108
K11358	1	1
K11740	59	50
K12957	73	62
K13503	3	2
K13589	18	20
K13626	35	38
K13735	65	62
K13775	30	38
K14058	155	159
K14727	115	106
K15539	381	358
K16328	43	33
K16422	88	83
K16515	117	111
K18383	94	82
K18661	43	58
K20421	40	36
K00865	406	421
K01602	39	37
K01633	819	816
K01796	93	81
K02221	633	614
K02483	577	538
K02618	81	101
K03205	139	148
K03563	394	385
K03684	422	410
K03727	55	49
K03890	56	48
K03891	57	49
K04074	26	30
K04101	146	130
K05364	46	42
K05838	344	333
K06208	30	38
K07030	75	74
K07039	122	144
K07183	84	65
K07400	355	344
K07768	55	49
K07776	18	9
K08256	53	38
K08300	267	252
K08680	88	88
K09772	217	214
K10780	9	17
K10805	407	370
K11731	12	18
K12506	21	26
K13527	54	45
K13570	56	45
K13821	386	390
K14136	0	4
K15371	338	323
K15520	56	41
K15521	47	40
K15526	53	45
K16012	289	316
K16013	269	284
K16163	53	38
K16652	0	4
K17829	43	38
K18455	48	42
K18955	215	190
K20814	56	43
K00055	94	93
K00101	293	341
K00121	645	668
K00153	57	45
K00166	365	374
K00472	7	8
K00518	53	42
K00588	53	37
K00949	40	49
K00955	183	204
K01023	1	1
K01417	1	4
K02071	494	531
K02072	380	429
K02073	423	469
K02203	20	22
K02298	203	217
K02554	110	108
K02862	24	35
K03090	196	153
K03119	131	110
K03286	465	459
K03556	115	151
K03578	380	343
K03629	795	801
K04090	58	62
K04092	4	13
K05342	53	47
K06193	613	641
K06443	243	265
K07177	80	79
K07653	7	2
K07735	623	615
K07742	190	195
K08068	154	128
K08167	65	78
K08311	273	259
K08372	106	81
K08691	15	17
K08967	58	106
K09009	164	173
K09693	359	353
K09699	225	242
K09781	404	435
K09880	62	104
K09914	89	101
K09971	85	100
K09972	80	82
K10228	158	145
K10229	144	127
K10232	52	43
K10234	50	41
K10559	7	7
K11159	6	0
K11531	43	33
K12954	3	4
K13288	387	367
K13571	57	45
K13573	55	48
K14054	65	58
K14447	18	19
K14520	1	0
K14733	9	8
K14954	3	0
K15269	45	44
K15868	1	0
K16150	50	38
K16648	45	36
K16653	0	4
K16872	130	150
K17203	132	131
K17204	116	107
K18688	1	4
K18697	8	14
K19545	5	0
K19745	189	176
K20035	42	65
K20468	19	4
K20940	13	6
K20978	174	151
K21014	2	0
K00076	43	37
K00799	1168	1379
K03582	358	343
K03583	344	326
K05558	0	4
K05602	55	49
K05786	423	400
K07258	529	512
K08316	293	288
K10125	75	130
K11618	44	58
K14448	15	17
K16048	3	0
K16301	214	187
K16870	3	2
K17675	22	30
K19191	11	11
K00271	53	36
K00281	603	605
K00285	631	647
K00563	284	265
K00805	114	136
K00880	65	58
K01046	20	29
K01060	137	137
K01250	51	39
K01477	36	48
K01728	100	88
K01857	141	134
K02192	209	187
K02229	40	68
K02381	54	53
K02553	341	325
K03761	74	69
K03776	299	299
K03928	52	77
K03933	155	115
K06902	276	325
K07008	47	38
K07029	222	225
K07224	112	101
K07654	54	50
K07670	56	45
K07795	333	374
K08714	202	214
K09456	339	299
K09472	182	182
K09607	45	38
K09684	236	255
K09692	217	207
K09762	99	92
K09819	47	43
K09820	40	36
K10006	56	48
K10007	56	48
K10008	16	12
K10233	43	38
K10831	70	64
K11250	88	69
K11939	122	109
K12503	57	49
K13572	53	45
K13788	133	151
K13888	50	36
K14631	5	0
K15525	48	42
K15551	53	39
K15580	279	337
K15582	390	384
K16148	52	55
K16168	26	41
K17318	117	125
K17319	108	108
K17329	54	38
K17330	49	38
K17331	49	40
K17476	1	2
K18369	131	131
K18546	54	50
K18912	68	63
K18917	53	40
K18958	50	38
K19190	43	38
K19668	45	36
K19794	6	4
K20491	9	17
K00360	40	39
K02413	309	323
K02479	8	16
K02612	142	116
K02613	356	376
K03810	83	80
K06605	32	41
K07067	79	77
K10552	9	2
K10553	17	17
K14267	191	201
K18472	8	4
K00040	197	156
K00068	74	79
K00098	91	91
K00895	1	1
K01004	6	27
K01818	44	34
K02803	2	3
K02810	232	264
K03212	46	36
K03311	245	244
K03484	176	188
K03647	175	192
K05346	8	16
K05881	43	38
K06191	162	171
K07084	158	208
K07173	191	211
K08168	17	19
K08173	65	65
K08297	43	33
K08298	43	33
K08314	51	49
K09858	155	162
K10546	71	65
K10547	57	63
K10548	66	59
K11733	32	34
K11737	219	220
K11738	66	66
K14761	90	83
K18230	44	43
K18479	43	33
K19956	43	33
K00045	123	113
K00613	0	10
K00752	182	206
K01212	8	16
K01223	223	266
K02757	113	133
K02770	226	264
K02795	76	68
K02804	96	138
K07792	43	36
K09019	175	181
K09791	432	396
K09956	148	156
K10005	58	54
K14698	0	2
K15533	1	2
K16235	210	202
K19158	207	194
K20490	8	16
K21011	22	20
K01226	79	80
K01258	334	383
K01623	205	195
K02445	79	83
K02598	8	16
K02619	368	362
K02773	90	70
K02774	90	70
K02775	89	69
K03779	43	33
K03827	76	95
K05596	219	224
K06609	30	41
K07035	177	176
K07684	383	390
K07791	71	68
K15629	86	83
K02760	100	133
K02769	1	1
K03486	176	183
K03491	8	16
K03694	402	389
K05351	94	82
K05685	101	86
K19354	65	58
K19777	43	33
K00048	65	58
K01629	65	58
