#KEGG ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
K05827	13	9
K05828	8	9
K05829	8	9
K05830	7	7
K05873	17	12
K05919	1	1
K05982	240	252
K06001	61	56
K06173	601	599
K06174	7	7
K06176	366	363
K06215	93	94
K06284	26	38
K06864	19	18
K06869	7	7
K06875	7	7
K06877	58	61
K06878	272	312
K06883	9	31
K06885	386	421
K06897	1	1
K06898	19	18
K06910	412	371
K06922	15	17
K06928	1	1
K06929	166	149
K06934	14	9
K06940	428	424
K06942	809	810
K06945	96	79
K06953	32	34
K06957	353	341
K06969	225	243
K06974	8	13
K06981	7	7
K06990	9	7
K07005	43	39
K07012	174	174
K07025	366	304
K07027	518	492
K07038	613	646
K07041	7	7
K07050	55	47
K07061	1	0
K07062	304	283
K07064	31	21
K07068	22	15
K07080	426	529
K07088	1029	1134
K07090	1880	2085
K07095	525	531
K07098	428	463
K07101	15	17
K07108	7	7
K07129	1	1
K07133	398	376
K07137	234	261
K07150	61	54
K07151	14	14
K07159	7	7
K07166	1	2
K07178	219	221
K07182	837	873
K07219	21	24
K07238	980	984
K07321	8	3
K07403	131	130
K07445	15	17
K07463	7	7
K07464	39	32
K07466	21	21
K07566	566	562
K07572	7	7
K07575	7	7
K07581	7	7
K07721	7	7
K07722	77	86
K07731	7	7
K07739	7	7
K07743	7	13
K08281	442	428
K08369	126	117
K08681	87	88
K08963	64	87
K08975	14	14
K08979	7	7
K09000	1	0
K09003	1	6
K09022	496	570
K09119	7	7
K09121	16	12
K09127	1	0
K09131	113	95
K09134	273	297
K09140	7	7
K09141	7	7
K09143	7	7
K09150	7	7
K09152	7	7
K09155	13	18
K09157	3	2
K09163	8	8
K09482	7	7
K09516	6	0
K09716	7	7
K09723	7	7
K09732	7	7
K09735	7	7
K09738	7	7
K09903	672	702
K09951	184	159
K10747	432	445
K10773	661	659
K10844	14	14
K11258	68	56
K11529	76	92
K11646	24	26
K11717	663	688
K12410	461	498
K12574	275	313
K12941	88	85
K12960	81	92
K13010	186	204
K13051	424	411
K13280	66	69
K13787	158	147
K13993	671	656
K14170	148	155
K14574	7	7
K15342	178	174
K15449	7	7
K15778	169	192
K16011	150	128
K16785	155	171
K16786	30	41
K16787	290	288
K17104	7	7
K17105	1	1
K17218	62	81
K17488	7	7
K17759	351	337
K17884	7	7
K18779	7	7
K18882	7	7
K19076	1	0
K19091	7	7
K19221	236	262
K19225	30	41
K19802	365	375
K20265	49	34
K21029	198	248
K00020	656	689
K00024	618	641
K00031	662	670
K00077	704	713
K00123	685	674
K00169	14	15
K00241	624	640
K00242	409	398
K00286	993	1049
K00294	441	470
K00313	155	126
K00335	322	301
K00341	356	309
K00343	371	321
K00382	1700	1792
K00384	1557	1660
K00606	689	698
K00627	963	1038
K00688	193	214
K00705	119	110
K00757	91	84
K00761	617	654
K00798	332	357
K00845	674	673
K00860	133	152
K00869	337	367
K00873	886	910
K00940	682	694
K00966	25	26
K01006	151	137
K01040	166	192
K01170	7	7
K01191	2	8
K01208	35	40
K01243	393	408
K01273	110	146
K01409	662	664
K01474	149	180
K01489	673	726
K01520	589	589
K01619	980	1006
K01644	327	314
K01647	937	947
K01679	771	784
K01681	1053	1120
K01698	547	553
K01712	603	617
K01719	890	959
K01720	339	317
K01739	507	494
K01745	1035	1076
K01749	522	550
K01785	723	768
K01811	142	135
K01823	494	507
K01848	124	93
K01849	51	38
K01868	560	557
K01873	697	707
K01875	816	819
K01895	919	963
K01897	974	944
K01953	1055	1096
K02013	1481	1596
K02015	1935	2103
K02016	2168	2340
K02026	641	598
K02027	514	511
K02049	501	504
K02122	7	7
K02123	7	7
K02233	151	144
K02303	573	562
K02304	241	257
K02433	850	869
K02434	312	335
K02492	646	662
K02503	673	700
K02548	291	332
K02549	97	112
K02601	652	634
K02683	7	7
K02858	65	62
K02869	7	7
K02890	1038	1036
K02907	667	702
K02912	7	7
K02922	7	7
K02930	7	7
K02944	7	7
K02950	848	868
K02966	7	7
K02987	7	7
K03041	7	7
K03047	7	7
K03049	7	7
K03051	7	7
K03059	7	7
K03105	7	7
K03110	783	773
K03186	451	428
K03231	14	14
K03237	7	7
K03281	326	359
K03307	1065	1176
K03420	7	7
K03465	51	50
K03500	714	732
K03538	7	7
K03635	645	672
K03671	1523	1530
K03709	360	375
K03789	434	409
K04561	196	183
K04564	1097	1077
K04720	1	22
K04794	7	7
K04797	7	7
K04800	7	7
K05349	663	725
K06206	366	357
K06384	27	37
K06932	7	7
K06943	7	7
K06961	7	7
K06965	7	7
K06983	8	6
K06984	7	7
K06994	421	383
K07034	67	60
K07045	108	113
K07060	7	7
K07107	2293	2357
K07112	1315	1398
K07158	7	7
K07254	7	7
K07301	767	770
K07330	7	7
K07331	7	7
K07332	14	14
K07333	21	21
K07398	7	7
K07405	4	0
K07442	51	45
K07446	7	7
K07558	7	7
K07562	7	7
K07579	7	7
K07583	7	7
K07588	365	366
K07728	7	7
K08093	165	169
K08222	14	26
K08299	46	33
K08482	105	112
K09120	8	13
K09122	11	13
K09123	7	7
K09129	1	0
K09138	1	1
K09142	7	7
K09148	7	7
K09722	7	7
K09736	7	7
K09825	31	56
K10112	449	456
K11473	232	249
K12234	61	52
K13038	801	798
K13075	7	16
K14654	7	7
K14656	7	7
K15495	1	1
K15771	89	100
K15888	7	7
K15916	4	0
K15987	278	279
K16055	189	215
K16937	256	279
K17828	33	44
K18933	7	9
K19664	24	26
K19710	56	49
K20215	7	7
K00003	354	391
K00021	15	7
K00179	4	3
K00226	1	5
K00615	1579	1612
K00703	473	529
K00766	629	650
K00797	176	210
K00849	265	288
K00928	857	886
K00941	422	439
K00958	239	237
K01039	172	194
K01066	170	185
K01142	807	827
K01304	71	96
K01434	90	67
K01468	449	475
K01473	102	124
K01546	132	158
K01547	133	157
K01548	133	138
K01609	600	630
K01652	1157	1205
K01657	610	606
K01658	493	490
K01677	1	1
K01695	645	654
K01735	635	632
K01817	252	260
K01876	635	620
K01955	720	768
K01956	644	634
K02227	134	146
K02435	281	294
K02910	7	7
K02924	7	7
K02954	1282	1303
K03053	7	7
K03116	1046	1072
K03265	7	7
K03457	287	335
K03537	7	7
K03564	1074	1092
K03785	64	62
K04072	73	75
K04567	808	792
K05966	68	58
K06137	138	134
K06888	279	308
K06911	1603	1618
K06920	561	559
K06944	7	7
K06982	7	7
K07023	223	227
K07049	7	7
K07991	7	7
K08153	15	23
K09004	22	21
K09013	825	840
K09014	809	821
K09116	1	1
K09125	240	264
K09128	7	7
K09717	2	0
K11130	7	7
K11381	198	160
K11645	161	151
K14534	2	2
K14564	7	7
K15372	142	130
K16849	1	1
K16850	2	2
K18702	43	33
K00303	167	201
K01507	847	895
K02017	292	281
K02018	362	380
K02039	487	462
K03518	107	98
K05567	648	680
K05570	611	635
K07402	554	545
K08094	153	153
K08978	16	23
K09685	177	184
K16925	63	66
K00266	808	813
K00302	155	188
K00764	677	685
K00851	436	436
K00864	388	423
K01091	978	949
K01126	1321	1312
K01464	108	123
K01585	561	558
K01588	691	689
K01596	81	85
K01601	178	183
K01808	600	624
K01933	661	670
K01945	672	684
K01952	986	1000
K01960	113	101
K02003	2200	2147
K02020	369	394
K02036	621	624
K02074	132	153
K02217	249	243
K02904	1061	1073
K03042	7	7
K03151	365	343
K03306	554	524
K03310	1121	1249
K03498	794	807
K03499	1339	1340
K03519	127	117
K03524	664	666
K03539	7	7
K04070	1	0
K04485	762	768
K05350	226	222
K05566	387	431
K05568	343	384
K05569	629	665
K05571	644	672
K05772	124	127
K05773	120	125
K05844	578	597
K06200	359	324
K06857	102	109
K06950	530	585
K06975	665	689
K07141	430	444
K07216	163	127
K07220	483	458
K07240	521	589
K07244	14	14
K07325	7	7
K07335	66	78
K07574	542	541
K08315	50	40
K09739	7	7
K11261	2	2
K12143	43	33
K12308	150	157
K13953	455	457
K14415	109	111
K15770	91	109
K15772	88	105
K16203	33	54
K18532	7	7
K19075	1	0
K19689	53	49
K01537	78	63
K02004	2345	2356
K02892	837	843
K03147	433	425
K03442	751	783
K02025	569	537
K03154	606	572
K03523	77	91
K04484	7	7
K06966	1091	1111
K06971	107	97
K07503	16	10
K09154	22	24
K14445	479	483
K00013	652	661
K00184	198	240
K00185	14	29
K00765	833	843
K00767	666	657
K01101	28	37
K01495	666	735
K01523	223	221
K01595	490	522
K01649	873	910
K01676	495	450
K01693	251	275
K01737	513	529
K01755	710	733
K01843	77	94
K01923	670	678
K02198	281	278
K02500	671	677
K02501	689	702
K02574	53	43
K03179	871	879
K03320	800	801
K03469	823	832
K03517	274	272
K03609	273	291
K03753	117	148
K03795	160	152
K04518	573	570
K04652	74	59
K04751	776	773
K05826	12	9
K05831	13	7
K06045	44	54
K06167	272	297
K06199	688	697
K06282	105	86
K06989	113	108
K07131	174	117
K07468	7	7
K07557	7	7
K07559	105	99
K08289	95	92
K08296	641	636
K08884	146	141
K09006	7	7
K09137	2	0
K09741	7	7
K11785	47	39
K13378	182	175
K14187	217	189
K14393	505	504
K16317	10	16
K00215	819	821
K00584	1	1
K00793	832	833
K00965	317	339
K01190	975	1052
K01255	843	783
K01443	160	160
K03292	313	303
K03707	287	326
K03885	1035	1032
K06287	728	731
K07026	175	189
K07114	1269	1297
K07406	62	58
K07462	491	520
K10907	37	48
K13057	2	6
K17315	157	143
K17316	135	148
K17317	154	166
K00001	241	263
K00548	607	668
K00632	892	846
K01154	304	389
K01303	153	127
K01466	122	127
K01840	354	359
K02051	657	638
K02316	811	808
K07097	8	16
K00571	48	65
K02495	1058	1102
K03547	263	289
K03575	628	638
K03813	16	18
K09810	619	621
K10440	370	404
K10441	248	270
K19302	1135	1228
K00788	295	323
K00878	104	134
K00124	312	313
K00127	129	127
K00817	1142	1068
K02063	71	74
K02064	70	70
K02379	370	380
K02563	715	712
K05576	4	5
K06281	141	120
K07744	7	7
K10716	770	881
K00891	698	706
K01534	797	899
