#MODULE ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
M00249 	96	185
M00250 	492	525
M00251 	576	560
M00252 	88	50
M00253 	322	284
M00255 	1639	1635
M00256 	1286	1298
M00257 	300	292
M00242 	1164	1101
M00243 	87	79
M00372 	203	231
M00232 	498	561
M00229 	287	266
M00230 	258	206
M00233 	186	162
M00225 	328	321
M00226 	262	246
M00231 	196	214
M00235 	532	619
M00227 	529	607
M00228 	8	8
M00403 	68	65
M00194 	1005	1072
M00197 	1435	1526
M00491 	1044	1113
M00196 	855	862
M00504 	269	348
M00199 	35	41
M00205 	320	255
M00200 	436	383
M00201 	147	124
M00204 	282	330
M00206 	491	453
M00212 	1000	1079
M00213 	509	476
M00214 	195	186
M00215 	375	302
M00216 	194	187
M00217 	129	99
M00218 	50	38
M00219 	194	157
M00220 	23	16
M00413 	7	7
M00468 	156	152
M00517 	20	6
M00439 	1446	1541
M00440 	420	406
M00435 	193	167
M00515 	342	290
M00325 	767	788
M00299 	903	819
M00300 	437	453
M00302 	0	6
M00425 	7	7
M00305 	43	33
M00306 	344	264
M00378 	147	127
M00505 	1	0
M00509 	1	0
M00317 	30	50
M00490 	163	175
M00481 	86	114
M00484 	16	32
M00469 	50	70
M00314 	207	223
M00470 	8	16
M00315 	32	64
M00487 	9	38
M00489 	35	39
M00319 	78	170
M00334 	1282	1452
M00322 	1	0
M00323 	685	745
M00326 	763	788
M00339 	779	794
M00571 	795	836
M00324 	352	339
M00328 	7	8
M00330 	371	508
M00400 	68	65
M00512 	37	41
M00498 	36	40
M00348 	328	324
M00349 	763	805
M00520 	21	23
M00524 	37	41
M00523 	597	580
M00423 	1	1
M00436 	669	660
M00438 	309	271
M00442 	270	287
M00566 	36	68
M00548 	153	162
