#MODULE ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
M00417 	1.000000	1.000000
M00264 	1.000000	1.000000
M00260 	0.909091	0.909091
M00234 	1.000000	1.000000
M00331 	0.923077	1.000000
M00507 	1.000000	1.000000
M00511 	0.666667	0.666667
M00485 	1.000000	1.000000
M00080 	0.750000	0.750000
M00162 	0.125000	0.125000
M00501 	1.000000	1.000000
M00277 	0.250000	0.250000
M00287 	0.750000	0.750000
M00268 	0.666667	0.666667
M00272 	0.666667	0.666667
M00271 	0.333333	0.333333
M00275 	1.000000	1.000000
M00273 	1.000000	1.000000
M00304 	1.000000	1.000000
M00279 	1.000000	1.000000
M00265 	0.666667	0.666667
M00266 	0.666667	0.666667
M00270 	0.500000	0.500000
M00303 	0.333333	0.333333
M00280 	0.666667	0.666667
M00281 	0.666667	0.666667
M00276 	1.000000	1.000000
M00274 	1.000000	0.666667
M00267 	1.000000	1.000000
M00269 	0.333333	0.333333
M00550 	1.000000	1.000000
M00283 	1.000000	1.000000
M00416 	1.000000	1.000000
M00178 	1.000000	1.000000
M00179 	0.805970	0.805970
M00177 	0.265823	0.265823
M00183 	0.833333	0.833333
M00184 	0.687500	0.687500
M00335 	1.000000	1.000000
M00336 	1.000000	1.000000
M00333 	0.166667	0.916667
M00564 	0.000000	0.037037
M00542 	0.529412	0.588235
M00332 	0.666667	0.800000
M00064 	1.000000	1.000000
M00506 	1.000000	1.000000
M00343 	1.000000	1.000000
M00342 	1.000000	1.000000
M00391 	0.000000	0.100000
M00540 	0.600000	0.600000
M00295 	0.071429	0.071429
M00551 	1.000000	1.000000
M00145 	0.142857	0.142857
M00186 	1.000000	1.000000
M00192 	1.000000	1.000000
M00224 	1.000000	1.000000
M00198 	1.000000	1.000000
M00031 	1.000000	1.000000
M00209 	1.000000	1.000000
M00358 	0.400000	0.400000
M00241 	1.000000	1.000000
M00320 	1.000000	1.000000
M00575 	0.800000	0.400000
M00288 	0.250000	0.250000
M00434 	1.000000	1.000000
M00444 	1.000000	1.000000
M00445 	1.000000	1.000000
M00446 	1.000000	1.000000
M00447 	1.000000	1.000000
M00449 	1.000000	1.000000
M00450 	1.000000	1.000000
M00451 	1.000000	1.000000
M00452 	1.000000	1.000000
M00453 	1.000000	1.000000
M00454 	1.000000	1.000000
M00455 	0.500000	0.500000
M00456 	1.000000	1.000000
M00457 	1.000000	1.000000
M00448 	1.000000	1.000000
M00458 	1.000000	1.000000
M00459 	1.000000	1.000000
M00460 	1.000000	1.000000
M00461 	1.000000	1.000000
M00471 	1.000000	1.000000
M00472 	1.000000	1.000000
M00473 	1.000000	1.000000
M00474 	1.000000	1.000000
M00475 	1.000000	1.000000
M00477 	1.000000	1.000000
M00476 	1.000000	1.000000
M00480 	1.000000	1.000000
M00483 	1.000000	1.000000
M00478 	1.000000	1.000000
M00479 	1.000000	1.000000
M00486 	1.000000	1.000000
M00488 	1.000000	1.000000
M00492 	1.000000	1.000000
M00495 	1.000000	1.000000
M00497 	1.000000	1.000000
M00499 	1.000000	1.000000
M00500 	1.000000	1.000000
M00502 	1.000000	1.000000
M00518 	1.000000	1.000000
M00519 	1.000000	1.000000
M00443 	1.000000	1.000000
M00493 	1.000000	1.000000
M00503 	0.500000	0.500000
M00136 	1.000000	1.000000
M00249 	1.000000	1.000000
M00250 	1.000000	1.000000
M00251 	1.000000	1.000000
M00252 	1.000000	1.000000
M00253 	1.000000	1.000000
M00255 	1.000000	1.000000
M00256 	1.000000	1.000000
M00257 	1.000000	1.000000
M00242 	1.000000	1.000000
M00243 	0.666667	0.666667
M00372 	0.142857	0.142857
M00232 	1.000000	1.000000
M00229 	1.000000	1.000000
M00230 	1.000000	1.000000
M00233 	1.000000	1.000000
M00225 	1.000000	1.000000
M00226 	1.000000	1.000000
M00231 	1.000000	1.000000
M00235 	1.000000	1.000000
M00227 	1.000000	1.000000
M00228 	1.000000	1.000000
M00403 	0.090909	0.090909
M00194 	1.000000	1.000000
M00197 	0.733333	0.733333
M00491 	1.000000	1.000000
M00196 	1.000000	1.000000
M00504 	1.000000	1.000000
M00199 	0.500000	0.500000
