#OTU ID	S3Fallen.S1.R1.R1	S3Fallen.S1.R1.R2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_sp._Root265;t__	3	3
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardia_rhamnosiphila;t__Nocardia_rhamnosiphila_NBRC_108938	7	15
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus_erythropolis;t__Rhodococcus_erythropolis_CCM2595	3	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus_fascians;t__Rhodococcus_fascians_A44A	27	38
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus_hoagii;t__Rhodococcus_hoagii_103S	6905	6785
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__Sporichthya;s__Sporichthya_polymorpha;t__Sporichthya_polymorpha_DSM_43042	11	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__;s__Geodermatophilaceae_bacterium_URHB0048;t__	4	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__;s__Geodermatophilaceae_bacterium_URHB0062;t__	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus;s__Blastococcus_saxobsidens;t__Blastococcus_saxobsidens_DD2	3	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus;s__Blastococcus_sp._URHD0036;t__	1	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus;s__Candidatus_Blastococcus_massiliensis;t__Candidatus_Blastococcus_massiliensis_AP3	13	25
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Modestobacter;s__Modestobacter_caceresii;t__	4	5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Modestobacter;s__Modestobacter_marinus;t__	0	4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Kineococcus;s__Kineococcus_radiotolerans;t__Kineococcus_radiotolerans_SRS30216_=_ATCC_BAA-149	0	4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__;t__	2	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium_muris;t__Brachybacterium_muris_UCD-AY4	5	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium_paraconglomeratum;t__Brachybacterium_paraconglomeratum_LC44	10	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Knoellia;s__Knoellia_aerolata;t__Knoellia_aerolata_DSM_18566	0	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Ornithinimicrobium;s__Ornithinimicrobium_pekingense;t__Ornithinimicrobium_pekingense_DSM_21552	5	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Phycicoccus;s__Phycicoccus_jejuensis;t__	23	27
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Phycicoccus;s__Phycicoccus_sp._Soil803;t__	0	2
